# {"t_start": 1591415659.223302, "env_id": "Block2D-v1"} 
r,l,t
-60.398926,94,460.251572
-55.542092,89,460.38042
-59.388686,90,460.42309
-59.142742,92,460.506426
-58.164453,92,460.547694
-64.991408,96,460.590641
-0.764994,41,460.609355
-54.468298,89,460.670679
-56.213181,91,460.712668
-62.56614,96,460.799103
-50.150962,86,460.920987
-64.180577,96,460.966475
-63.76306,98,461.009043
-51.96121,88,461.046888
-60.845267,95,461.093202
-60.078685,94,461.136081
-57.081252,91,461.178139
-56.161732,90,461.265372
-57.789064,92,461.354417
-59.12095,94,461.399055
-61.772039,95,461.440954
-59.662016,92,461.481081
-63.644985,97,461.524751
-56.006432,88,461.562671
-55.673013,90,461.60507
-52.087243,87,461.64536
-65.860728,94,478.170962
-55.335906,88,478.212581
-66.323498,97,478.260444
-50.140209,84,478.29871
-59.944106,93,478.347203
-53.504413,89,478.389826
-61.295836,90,478.4342
-51.101639,85,478.516979
-62.186665,94,478.645467
-64.461251,94,478.68727
-65.044114,98,478.730707
-59.651237,93,478.770843
-58.934714,93,478.812715
-59.891689,94,478.855538
-54.822386,88,478.894949
-62.411558,95,478.939282
-60.075978,92,478.979781
-54.853783,88,479.019843
-63.748273,98,479.065652
-59.738865,94,479.105744
-64.365869,97,479.148584
-65.640603,98,479.190464
-66.014359,98,479.232183
-55.619078,90,479.271021
-59.006017,93,479.313637
-59.152419,94,479.35616
-52.227965,87,479.395361
-51.095385,85,479.436102
-58.319723,91,479.479952
-56.98556,91,479.521982
-63.584286,97,479.566468
-56.692393,91,479.605757
-61.068209,93,479.648147
-50.481098,85,479.686375
-53.57813,89,479.729384
-58.164599,90,479.771615
-65.821113,97,479.816559
-66.244058,97,479.859053
-1.960463,42,479.877932
-61.246862,96,479.941936
-57.174331,90,479.981052
-60.442005,93,480.023974
-57.584587,91,480.065244
-55.409617,90,480.106432
-63.306694,96,480.150234
-59.205075,93,480.190595
-55.40475,88,480.230026
-57.066215,91,480.273151
-61.171787,95,480.316618
-61.305535,94,480.359376
-63.712266,95,480.401844
-60.269894,95,480.443229
-51.334238,85,480.480602
-56.864836,90,480.524058
-61.585605,96,480.56836
-54.590966,88,480.607011
-61.383931,96,480.651851
-55.418838,90,480.690996
-61.991359,95,480.734805
-54.526764,89,480.77419
-61.689463,94,480.817787
-63.386212,94,480.860387
-65.083139,95,480.902953
-59.338598,92,480.943336
-62.574621,94,480.985798
-66.204885,97,481.02906
-61.401361,94,481.069845
-53.936216,89,481.151045
-61.32999,95,481.195264
-55.740708,90,481.23489
-64.318865,95,481.27876
-62.466711,95,481.320402
-60.52552,95,481.362953
-57.461974,90,481.402823
-61.446409,94,481.445806
-61.262303,93,481.486923
-55.332358,89,497.924124
-58.980193,93,497.970289
-53.325174,88,498.011959
-54.67891,87,498.05619
-55.235079,89,498.102258
-58.828057,92,498.147811
-66.858257,97,498.194328
-50.274399,84,498.233301
-56.340804,88,498.279411
-56.439023,88,498.324236
-51.517568,83,498.410949
-59.373749,90,498.458471
-54.388786,88,498.545144
-59.631862,91,498.590487
-3.923608,43,498.613445
-55.671023,89,498.676814
-64.960214,96,498.723918
-59.178972,90,498.766382
-61.754285,94,498.856161
-56.649438,89,498.89903
-58.117156,91,498.945184
-54.436405,88,498.989103
-55.101414,88,499.033314
-54.283748,87,499.077497
-57.202509,91,499.123165
-58.101405,92,499.168091
-58.268953,92,499.212256
-8.205607,44,499.235099
-58.796804,93,499.300463
-57.254183,91,499.343207
-57.529484,90,499.387467
-51.735229,86,499.430438
-53.26785,88,499.47531
-54.820249,88,499.519141
-60.988473,95,499.565693
-4.665775,44,499.587043
-54.426155,88,499.648657
-59.459623,92,499.691713
-59.980881,92,499.733374
-60.250723,93,499.775813
-60.671918,93,499.818475
-55.256419,90,499.902219
-54.700658,87,499.983991
-56.795559,91,500.027068
