# {"t_start": 1591372385.3888662, "env_id": "Block2D-v1"} 
r,l,t
-112.071963,105,1345.127317
-83.725544,75,1345.450349
-108.873293,113,1345.669132
-79.487781,74,1345.71948
-116.879421,86,1345.789658
-96.769821,92,1345.858279
-89.383474,96,1346.200498
-95.863165,97,1346.268795
-109.047507,102,1346.537775
-90.889874,83,1346.595957
-80.55654,84,1346.72958
-98.326717,100,1346.802069
-86.565429,84,1346.860568
-128.684869,127,1347.215598
-111.090779,100,1347.269663
-83.751381,80,1347.324362
-104.696163,99,1347.641283
-93.884869,85,1347.820205
-97.64135,96,1347.885937
-89.710347,84,1348.005053
-103.259229,102,1348.15388
-111.740096,100,1348.22487
-89.857387,87,1348.289367
-114.407663,106,1348.367466
-85.247788,77,1348.423955
-102.275513,101,1348.503829
-84.51268,77,1373.820943
-83.880092,82,1373.895721
-75.880563,73,1373.964911
-84.109168,81,1374.043737
-94.940968,90,1374.121242
-86.514232,77,1374.188096
-103.453491,99,1374.266891
-124.441216,125,1374.344776
-86.034126,84,1374.457742
-88.958098,85,1374.52491
-81.751131,75,1374.586184
-100.499387,99,1374.669349
-99.146269,100,1374.807735
-119.511694,115,1374.883939
-82.823426,75,1375.000801
-108.318531,103,1375.079232
-108.38438,101,1375.14798
-97.800745,96,1375.21452
-96.355055,99,1375.284566
-106.59387,102,1375.355293
-100.096515,102,1375.893727
-93.429188,90,1375.956022
-99.091349,99,1376.027073
-85.550249,77,1376.082457
-98.485046,89,1376.155216
-97.387361,98,1376.229918
-85.937029,79,1376.289943
-106.333167,103,1376.438974
-108.176316,105,1376.511223
-88.027938,85,1376.711559
-96.285164,97,1376.784818
-93.511905,94,1376.983637
-98.22462,88,1377.044811
-83.058058,78,1377.507662
-90.530011,78,1377.641845
-100.935145,98,1377.784442
-106.578807,113,1377.86427
-110.656894,100,1378.005498
-96.666994,99,1378.074204
-96.088408,78,1378.193256
-92.473429,80,1378.257648
-94.648169,86,1378.389569
-99.832262,98,1378.462998
-89.600462,85,1378.524426
-100.589638,93,1378.593477
-89.140047,79,1378.654838
-103.071468,101,1378.730049
-104.737091,103,1378.864991
-99.373152,100,1378.929085
-89.629186,97,1378.992304
-92.517721,94,1379.193131
-79.299892,74,1404.03928
-99.453302,100,1404.118529
