EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,Success,TimeElapsed,TimestepsSoFar
150.0,-187.44701597887766,50,2900,31,1010.4311444759369,435000
150.0,-194.04561766571504,50,2950,39,1028.164437532425,442500
150.0,-198.1580028987649,50,3000,41,1045.971025943756,450000
150.0,-159.67468445613036,50,3050,33,1063.3848059177399,457500
150.0,-222.4342024101398,50,3100,40,1081.0396761894226,465000
150.0,-189.61608339620608,50,3150,38,1098.732059955597,472500
150.0,-180.98470790781445,50,3200,36,1115.9328553676605,480000
150.0,-234.45516534585158,50,3250,35,1133.546923160553,487500
150.0,-189.41226194253127,50,3300,40,1151.3480291366577,495000
150.0,-155.27426361761098,50,3350,39,1169.356264591217,502500
150.0,-237.79746748766274,50,3400,38,1187.1640276908875,510000
150.0,-189.78077715441356,50,3450,37,1205.1633706092834,517500
150.0,-147.9071547361413,50,3500,44,1223.3100893497467,525000
150.0,-203.92946590855232,50,3550,36,1248.888341665268,532500
150.0,-216.2770055250693,50,3600,35,1274.722293138504,540000
150.0,-143.86825525504742,50,3650,38,1300.3366332054138,547500
150.0,-211.32258869773472,50,3700,37,1326.2295062541962,555000
150.0,-143.78701444587887,50,3750,44,1352.1169092655182,562500
150.0,-143.5566359597087,50,3800,34,1378.3014941215515,570000
150.0,-221.46730556381243,50,3850,39,1404.800409078598,577500
150.0,-140.09876067095598,50,3900,35,1431.6456577777863,585000
150.0,-136.32244832224313,50,3950,41,1458.6084895133972,592500
150.0,-164.01318180836833,50,4000,39,1484.6560389995575,600000
150.0,-186.304711017579,50,4050,37,1511.1186006069183,607500
150.0,-140.35703756042022,50,4100,34,1537.141342163086,615000
150.0,-181.39983046032336,50,4150,36,1563.3453786373138,622500
150.0,-249.80175706146284,50,4200,39,1590.7086160182953,630000
150.0,-136.29624781945802,50,4250,41,1617.6089942455292,637500
150.0,-180.7812056306097,50,4300,36,1644.2300050258636,645000
150.0,-155.84154223074808,50,4350,38,1671.0909547805786,652500
150.0,-134.49728435374786,50,4400,42,1698.8334376811981,660000
150.0,-181.14622605946343,50,4450,37,1726.062935590744,667500
150.0,-176.65340007684395,50,4500,41,1752.9997427463531,675000
150.0,-161.86996333272776,50,4550,43,1781.0428745746613,682500
150.0,-134.92158989459796,50,4600,41,1808.2505750656128,690000
150.0,-134.21292514550137,50,4650,41,1834.5586142539978,697500
150.0,-158.07675032425246,50,4700,42,1861.3267550468445,705000
150.0,-159.37149846039821,50,4750,41,1887.6342062950134,712500
150.0,-130.5662230022621,50,4800,44,1914.042356967926,720000
150.0,-129.94953150817304,50,4850,39,1941.2441945075989,727500
150.0,-173.10027666810979,50,4900,42,1968.771116733551,735000
150.0,-228.20057674325145,50,4950,40,1995.6089491844177,742500
150.0,-173.21248921167214,50,5000,42,2021.5814363956451,750000
