EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
150.0,-633.6982981928879,79,79,0,17.01755118370056,11850,0.004207193851470947,2.8169794,0.003478034,0.0,-0.0009844864,2027.2716
150.0,-621.182780982257,79,158,0,35.63853120803833,23700,0.017543315887451172,2.7856448,0.004978673,0.0,-0.005315335,2179.922
150.0,-601.8959560979039,79,237,0,56.791704416275024,35550,-0.007779955863952637,2.759895,0.00425043,0.0,-0.011211098,1776.8438
150.0,-610.4398167161679,79,316,0,78.2862913608551,47400,-0.025272011756896973,2.7509482,0.0060470775,0.0,-0.016116071,1625.8762
150.0,-631.478926844402,79,395,0,98.7903733253479,59250,-0.07065391540527344,2.721765,0.011318045,0.0,-0.022843927,1423.5698
150.0,-624.7305374144737,79,474,0,119.9852602481842,71100,-0.11954963207244873,2.6953197,0.009760482,0.0,-0.01907134,1259.2058
150.0,-631.002893684826,79,553,0,140.15903091430664,82950,-0.3852759599685669,2.668451,0.0055762506,0.0,-0.012738996,1082.8706
150.0,-634.9247750331944,79,632,0,161.9508557319641,94800,-0.8402413129806519,2.6462643,0.0018845003,0.0,-0.007582335,920.6341
150.0,-634.9501819767163,79,711,0,182.86489248275757,106650,-0.5839418172836304,2.6329954,0.007277173,0.0,-0.012373029,757.9599
150.0,-637.5616472524537,79,790,0,204.26729321479797,118500,-1.242619276046753,2.6204305,0.007884041,0.0,-0.010349182,621.9722
150.0,-638.6451171590295,79,869,0,226.19392037391663,130350,-2.631096363067627,2.5794601,0.002784862,0.0,-0.0024399168,498.9041
150.0,-639.0976236717519,79,948,0,248.88909101486206,142200,-1.196173906326294,2.5700688,0.007224852,0.0,-0.0074947635,387.64795
150.0,-642.6500905937721,79,1027,0,271.1157121658325,154050,-4.037038326263428,2.553161,0.002062752,0.0,-0.006154374,294.8854
150.0,-642.1506838645699,79,1106,0,292.3416588306427,165900,-6.112781524658203,2.5308526,0.004076049,0.0,-0.009586608,214.0939
150.0,-644.0435943493594,79,1185,0,315.301123380661,177750,-3.0888261795043945,2.5272298,0.014476533,0.0,-0.010738837,145.83601
150.0,-645.857211165367,79,1264,0,342.7050938606262,189600,-0.40584611892700195,2.5141923,0.015975155,0.0,-0.022711096,95.02949
150.0,-647.5748514720623,79,1343,0,370.42744994163513,201450,0.36260950565338135,2.5073466,0.011261264,0.0,-0.020295635,57.269333
150.0,-648.1390040507529,79,1422,0,399.0666255950928,213300,0.3208312392234802,2.4987495,0.007915077,0.0,-0.017043188,29.045013
150.0,-647.9189598479758,79,1501,0,427.77572441101074,225150,0.8023182898759842,2.4008482,0.022638137,0.0,-0.030410662,22.312004
150.0,-648.4076542284174,79,1580,0,456.0000069141388,237000,0.8184882253408432,2.3810968,0.01047704,0.0,-0.025770145,9.275276
150.0,-648.8127562066991,79,1659,0,483.7712244987488,248850,-22.11815643310547,2.3667316,0.009771428,0.0,-0.019999243,1.0880958
150.0,-559.5484722684107,79,1738,0,512.0014803409576,260700,0.883529394865036,2.3360877,0.019405875,0.0,-0.043815255,15.007712
150.0,-648.2198193987196,79,1817,0,539.3685481548309,272550,0.8892591893672943,2.288156,0.01447097,0.0,-0.010232821,6.785881
150.0,-647.5911301730031,79,1896,0,567.116281747818,284400,-21.903133392333984,2.267973,0.009299859,0.0,-0.019274564,0.4875505
150.0,-647.3692842670297,79,1975,0,594.8582389354706,296250,0.9114313870668411,2.24002,0.0052809822,0.0,-0.022923654,15.7270155
150.0,-632.8134438723921,79,2054,0,622.2924807071686,308100,0.9183560311794281,2.1988502,0.006312288,0.0,-0.022610469,39.318867
150.0,-630.7863232189687,79,2133,0,649.727890253067,319950,0.9332648813724518,2.1482148,0.010136157,0.0,-0.030092476,55.67807
150.0,-612.6169196402554,79,2212,0,677.668844461441,331800,0.9448426924645901,2.1134667,0.0057794596,0.0,-0.036668524,52.609215
150.0,-643.0101478965018,79,2291,0,705.210277557373,343650,0.9027970656752586,2.102976,0.015055783,0.0,-0.03823686,19.094952
150.0,-609.2387584916555,79,2370,0,734.3487358093262,355500,0.9318712204694748,2.0867639,0.00964573,0.0,-0.021308253,26.223051
150.0,-612.7018426065995,79,2449,0,761.9403638839722,367350,0.9396179616451263,2.0555139,0.006679146,0.0,-0.028264964,52.489815
150.0,-560.4723067859045,79,2528,0,788.9976563453674,379200,0.874153733253479,2.0613194,0.023921808,0.0,-0.033508174,30.87283
150.0,-535.4906604059037,79,2607,0,814.9960193634033,391050,0.8974769115447998,2.0478518,0.008449295,0.0,-0.022346912,160.91548
150.0,-583.0529029355323,79,2686,0,844.2830214500427,402900,0.5072526037693024,2.0336914,0.011868829,0.0,-0.048635412,406.7302
150.0,-505.8688941812722,79,2765,0,871.9918117523193,414750,0.6930562257766724,2.017252,0.011069544,0.0,-0.04443274,148.14856
150.0,-530.1496734933041,79,2844,0,900.860431432724,426600,0.7355527877807617,2.0078528,0.013623451,0.0,-0.044576094,52.88112
150.0,-495.8566233655077,79,2923,0,930.1655013561249,438450,0.8236531615257263,1.9902365,0.00962206,0.0,-0.046611555,28.367668
150.0,-537.3219146175468,79,3002,0,957.1300277709961,450300,0.4084510803222656,1.9990923,0.008325054,0.0,-0.012006504,58.37831
150.0,-596.9359274934053,79,3081,0,984.7188680171967,462150,0.29787105321884155,2.010531,0.01344546,0.0,-0.024882063,110.31051
150.0,-641.81326919477,79,3160,0,1013.4177324771881,474000,0.3031386733055115,2.0469978,0.013309635,0.0,-0.01716895,176.75395
150.0,-633.2943142299986,79,3239,0,1039.7993841171265,485850,0.3261874318122864,2.0175192,0.014595993,0.0,-0.025403334,361.2586
