EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,Success,TimeElapsed,TimestepsSoFar
150.0,-250.50599237077222,75,5250,21,3111.1759192943573,787500
150.0,-233.80372824052066,75,5325,25,3154.416182756424,798750
150.0,-221.9472416518046,75,5400,35,3198.932273387909,810000
150.0,-240.92979927035918,75,5475,30,3242.5827407836914,821250
150.0,-239.45662430466933,75,5550,34,3286.5827803611755,832500
150.0,-215.65761625269107,75,5625,37,3330.2488577365875,843750
150.0,-211.69488581953254,75,5700,39,3380.951427936554,855000
150.0,-200.2913487563132,75,5775,43,3439.443266391754,866250
150.0,-211.52678027217848,75,5850,47,3497.6221849918365,877500
150.0,-218.05319226272687,75,5925,45,3553.180576324463,888750
150.0,-212.1944681163985,75,6000,51,3609.861699819565,900000
150.0,-203.28958695414195,75,6075,56,3666.755971431732,911250
150.0,-215.33727028062975,75,6150,67,3723.037266731262,922500
150.0,-190.02235450752715,75,6225,59,3778.889396429062,933750
150.0,-199.68782665745644,75,6300,65,3835.950613975525,945000
150.0,-194.15666029687526,75,6375,65,3892.9204325675964,956250
150.0,-176.74431887582696,75,6450,73,3949.206862926483,967500
150.0,-186.59974628874102,75,6525,75,4006.3065938949585,978750
150.0,-184.53884669384982,75,6600,73,4061.847731590271,990000
150.0,-179.1089449820553,75,6675,67,4118.038222312927,1001250
150.0,-186.99458675939235,75,6750,68,4173.875813961029,1012500
150.0,-195.58295446872452,75,6825,73,4232.466491937637,1023750
150.0,-169.50859363574222,75,6900,75,4289.297883749008,1035000
150.0,-183.6606666898335,75,6975,65,4345.987509727478,1046250
150.0,-168.74964610637136,75,7050,74,4402.673583984375,1057500
150.0,-186.44985219166233,75,7125,75,4460.506897211075,1068750
150.0,-163.58875843489406,75,7200,73,4516.540083885193,1080000
150.0,-178.7945789278374,75,7275,69,4573.019550085068,1091250
150.0,-162.61681958271623,75,7350,75,4629.661427974701,1102500
150.0,-175.42117129355256,75,7425,73,4686.738221168518,1113750
150.0,-161.22791475839222,75,7500,74,4744.365903139114,1125000
